PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
892,0,3,male,34.5,0,0,330911,7.8292,Q
893,1,3,female,47.0,1,0,363272,7.0,S
894,0,2,male,62.0,0,0,240276,9.6875,Q
895,0,3,male,27.0,0,0,315154,8.6625,S
896,1,3,female,22.0,1,1,3101298,12.2875,S
897,0,3,male,14.0,0,0,7538,9.225,S
898,1,3,female,30.0,0,0,330972,7.6292,Q
899,0,2,male,26.0,1,1,248738,29.0,S
900,1,3,female,18.0,0,0,2657,7.2292,C
901,0,3,male,21.0,2,0,A/4 48871,24.15,S
902,0,3,male,,0,0,349220,7.8958,S
903,0,1,male,46.0,0,0,694,26.0,S
904,1,1,female,23.0,1,0,21228,82.2667,S
905,0,2,male,63.0,1,0,24065,26.0,S
906,1,1,female,47.0,1,0,W.E.P. 5734,61.175,S
907,1,2,female,24.0,1,0,SC/PARIS 2167,27.7208,C
908,0,2,male,35.0,0,0,233734,12.35,Q
909,0,3,male,21.0,0,0,2692,7.225,C
910,1,3,female,27.0,1,0,STON/O2. 3101270,7.925,S
911,1,3,female,45.0,0,0,2696,7.225,C
912,0,1,male,55.0,1,0,PC 17603,59.4,C
913,0,3,male,9.0,0,1,C 17368,3.1708,S
914,1,1,female,,0,0,PC 17598,31.6833,S
915,0,1,male,21.0,0,1,PC 17597,61.3792,C
916,1,1,female,48.0,1,3,PC 17608,262.375,C
917,0,3,male,50.0,1,0,A/5. 3337,14.5,S
918,1,1,female,22.0,0,1,113509,61.9792,C
919,0,3,male,22.5,0,0,2698,7.225,C
920,0,1,male,41.0,0,0,113054,30.5,S
921,0,3,male,,2,0,2662,21.6792,C
922,0,2,male,50.0,1,0,SC/AH 3085,26.0,S
923,0,2,male,24.0,2,0,C.A. 31029,31.5,S
924,1,3,female,33.0,1,2,C.A. 2315,20.575,S
925,1,3,female,,1,2,W./C. 6607,23.45,S
926,0,1,male,30.0,1,0,13236,57.75,C
927,0,3,male,18.5,0,0,2682,7.2292,C
928,1,3,female,,0,0,342712,8.05,S
929,1,3,female,21.0,0,0,315087,8.6625,S
930,0,3,male,25.0,0,0,345768,9.5,S
931,0,3,male,,0,0,1601,56.4958,S
932,0,3,male,39.0,0,1,349256,13.4167,C
